"ProductKey","CurrencyAlternateKey","FIRST_NAME","LAST_NAME","OrderDateKey","OrderQuantity","UnitPrice","SecretCode"
"310","CAD","Cole","Watson","20101229","1","3578,27","54c6191305"
"346","FRF","Rachael","Martinez","20101229","1","3399,99","298677997c"
"346","USD","Sydney","Wright","20101229","1","3399,99","b8b1814d15"
"336","USD","Ruben","Prasad","20101229","1","699,0982","5fe1f9dcf3"
"346","AUD","Christy","Zhu","20101229","1","3399,99","aa3ba4d159"
"311","USD","Colin","Anand","20101230","1","3578,27","133545bbdd"
"310","AUD","Albert","Alvarez","20101230","1","3578,27","0975b365f7"
"351","AUD","Julio","Ruiz","20101230","1","3374,99","64009af6b4"
"344","AUD","Curtis","Lu","20101230","1","3399,99","e83a328b11"
"312","USD","Edward","Brown","20101231","1","3578,27","b4d92f4544"
"312","USD","Emma","Brown","20101231","1","3578,27","b6fdd80054"
"330","GBP","Brad","Deng","20101231","1","699,0982","bf6d280617"
"313","AUD","Martha","Xu","20101231","1","3578,27","af0254c83c"
"314","AUD","Katrina","Raji","20101231","1","3578,27","8ac041e6e0"
"314","USD","Courtney","Edwards","20110101","1","3578,27","9ac4c57c06"
"311","DEM","Abigail","Henderson","20110101","1","3578,27","8aee1d6386"
"310","USD","Sydney","Rogers","20110102","1","3578,27","d1dd919bff"
"311","GBP","Latasha","Alonso","20110102","1","3578,27","f3ff04c105"
"314","AUD","Warren","Jai","20110102","1","3578,27","f57ffaf11a"
"311","AUD","Jonathon","Gutierrez","20110102","1","3578,27","a7ede13a94"
"336","AUD","Alexandra","Watson","20110102","1","699,0982","dbc252686e"
"311","USD","Kevin","Gonzalez","20110103","1","3578,27","3182be1210"
"312","USD","Lucas","Hill","20110103","1","3578,27","a12901ffe9"
"311","DEM","Melanie","Sanchez","20110103","1","3578,27","218080fb5e"
"310","GBP","Louis","Xie","20110103","1","3578,27","3678d1d352"
"312","GBP","Albert","Blanco","20110104","1","3578,27","d53d432fce"
"332","USD","Bonnie","Xu","20110104","1","699,0982","f51f5ddc4f"
"311","AUD","Misty","Raji","20110104","1","3578,27","6eb6e40a3f"
"311","DEM","Anne","Dominguez","20110105","1","3578,27","5d92fddc9d"
"332","USD","Kelvin","Huang","20110105","1","699,0982","600bd51901"
"311","AUD","Logan","Gonzales","20110105","1","3578,27","2473d51db8"
"313","USD","Alyssa","Garcia","20110106","1","3578,27","9f08707b5e"
